Temperature,Rainfall,Humidity,pH,Contamination
24,37,37,3,0
23,31,31,7,0
25,37,37,5,0
25,44,33,5,0
25,40,30,3,1
24,33,34,7,0
24,45,31,7,0
23,37,40,4,1
23,48,35,4,1
25,46,40,4,1
25,49,35,4,1
23,43,35,3,1
24,32,38,4,1
25,37,35,4,1
23,49,39,7,1
25,33,37,4,1
25,38,31,3,1
25,46,36,5,1
25,43,33,3,1
25,37,30,7,1
25,41,39,4,1
23,42,32,5,1
25,49,39,4,1
25,34,40,4,1
23,37,38,5,1
24,33,36,3,1
23,39,32,3,1
23,41,40,7,1
24,39,39,6,1
25,38,39,6,1
24,43,34,5,1
23,45,31,7,1
25,42,34,4,1
24,30,34,4,1
25,31,35,4,1
24,48,38,3,1
24,50,32,5,1
23,34,35,4,1
23,34,36,7,1
24,30,39,7,1
24,37,35,3,1
23,44,36,3,1
23,34,30,6,1
25,31,39,7,1
24,31,32,3,1
24,50,31,3,1
23,32,35,3,0
25,47,39,6,0
24,41,32,4,0
25,35,30,7,0
24,40,35,5,0
24,40,31,7,1
25,49,38,5,0
24,38,30,3,0
24,42,31,3,0
25,36,32,5,0
23,49,38,6,0
23,35,31,4,0
24,41,35,5,0
25,50,33,6,0
24,32,37,5,1
24,33,34,4,1
25,31,31,7,1
25,35,34,7,1
25,43,39,6,1
24,33,36,4,1
24,44,36,3,1
23,42,34,4,1
25,37,32,7,1
25,47,31,7,1
24,39,36,4,1
24,49,40,6,1
24,40,40,3,1
24,45,31,7,1
23,39,39,4,1
24,48,32,3,1
25,42,33,6,1
24,37,31,5,1
25,37,34,4,1
24,39,38,3,1
24,45,40,3,1
24,47,39,3,1
24,50,32,4,1
25,30,38,5,1
27,45,50,3,0
25,45,47,6,1
27,46,50,5,0
27,51,47,5,0
26,45,49,4,1
27,45,48,6,1
27,50,46,4,1
26,50,47,7,1
26,45,51,7,1
27,52,50,5,0
26,50,45,4,1
26,48,45,6,0
26,51,52,5,1
27,49,51,5,0
25,45,47,5,0
26,47,50,6,0
25,52,46,4,0
27,28,29,5,0
26,25,30,5,0
26,28,28,7,0
26,28,30,7,1
28,25,31,5,1
26,26,32,4,1
28,25,29,6,1
27,27,30,3,1
28,28,29,3,1
26,28,32,7,1
27,29,30,7,1
27,26,30,5,1
28,26,28,6,1
28,29,28,5,1
28,26,28,3,1
27,26,32,4,1
26,28,31,3,1
26,26,31,4,1
27,28,32,5,1
28,27,28,3,1
26,26,29,7,1
26,25,29,7,1
26,27,30,3,1
28,28,30,7,0
27,28,32,7,0
28,26,29,7,0
26,26,30,5,0
28,29,32,7,0
26,29,30,4,0
26,29,29,5,0
26,29,31,6,0
27,28,29,5,0
27,29,28,3,0
28,29,30,7,0
28,29,32,6,0
26,26,28,5,0
27,26,31,7,0
28,27,30,4,0
26,28,31,3,0
28,27,32,6,1
26,28,28,4,1
27,28,30,7,1
26,29,31,7,1
26,29,32,6,1
27,26,31,5,1
27,25,30,3,1
28,26,29,7,1
26,27,30,3,1
27,25,30,7,1
27,25,32,7,1
26,27,29,4,1
26,27,29,7,1
27,25,32,5,1
26,27,29,3,1
26,29,28,6,1
27,29,29,7,1
26,27,29,5,1
27,27,28,4,1
28,27,31,4,1
27,29,30,7,1
28,27,31,3,1
26,29,29,6,1
27,26,32,5,1
26,26,29,3,1
27,28,30,4,1
28,25,28,7,1
27,27,31,6,1
27,28,30,5,1
22,62,70,5,0
23,61,70,7,1
25,58,70,4,1
22,62,68,4,1
23,60,65,4,1
23,59,66,3,1
25,61,65,7,1
25,56,65,5,1
24,60,67,3,1
24,57,70,5,1
23,57,70,5,1
23,62,67,5,1
25,56,65,6,1
24,58,66,4,1
22,59,70,3,1
23,63,67,7,1
25,56,70,7,1
24,58,68,5,1
23,55,66,7,1
22,58,67,5,1
23,57,68,5,1
23,59,67,7,1
23,55,70,4,1
22,61,70,5,1
25,56,66,4,1
25,61,69,7,1
22,57,65,5,1
24,61,65,7,1
23,55,67,3,1
22,58,68,7,1
23,63,65,6,1
23,56,68,5,1
22,56,68,6,1
25,55,68,7,1
23,57,69,6,1
22,60,67,6,1
23,62,69,3,1
23,62,70,5,1
23,57,68,6,1
22,58,68,4,1
25,57,69,7,1
24,61,67,7,1
25,62,70,6,1
24,56,67,5,1
22,58,67,3,1
22,59,68,6,1
23,57,69,5,1
25,57,68,6,1
24,55,70,3,1
25,55,70,4,1
22,58,70,4,0
25,61,68,3,0
25,58,67,4,0
22,60,66,3,0
23,57,67,3,1
25,58,66,6,1
21,90,82,3,1
22,100,87,4,1
23,102,87,5,1
24,94,82,5,1
22,102,80,5,1
21,108,88,7,1
20,92,84,7,1
23,107,90,6,1
24,100,85,3,1
21,91,85,3,1
23,103,85,5,1
24,98,84,7,1
21,92,83,4,1
24,108,82,4,1
21,101,88,5,1
